City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Salalah,OM,17.0151,54.0924,80.69,78,75,6.91,broken clouds
239,Williams Lake,CA,52.1415,-122.1445,79.05,38,20,4.61,few clouds
240,Codrington,AU,-38.2667,141.9667,59.97,69,99,3.06,overcast clouds
241,Ocampo,MX,21.65,-101.5,63.07,36,88,18.86,overcast clouds
242,Klaksvik,FO,62.2266,-6.589,52.72,88,42,21.99,scattered clouds
243,Kholtoson,RU,50.2981,103.3097,21.09,71,13,2.19,few clouds
244,Palaia Fokaia,GR,37.72,23.9463,74.84,49,0,10.45,clear sky
245,Port Hardy,CA,50.6996,-127.4199,55.58,88,20,3.44,fog
246,Bawku,GH,11.0616,-0.2417,75.6,83,60,4.36,broken clouds
247,Korla,CN,41.7597,86.1469,45.55,26,0,13.22,clear sky
248,San Quintin,MX,30.4833,-115.95,70.02,72,27,13.51,scattered clouds
249,Toyo,PH,10.7333,125.0167,81.64,87,94,4.65,overcast clouds
250,Kahului,US,20.8947,-156.47,86.02,62,40,14.97,light rain
251,Beira,MZ,-19.8436,34.8389,69.93,86,0,2.53,clear sky
252,Broken Hill,AU,-31.95,141.4333,69.71,33,72,15.5,broken clouds
253,Presidente Medici,BR,-11.1753,-61.9014,75.94,85,93,3.65,moderate rain
254,Nabire,ID,-3.3667,135.4833,83.88,68,47,0.58,scattered clouds
255,Am Timan,TD,11.0297,20.2827,71.31,87,100,6.42,overcast clouds
256,Richards Bay,ZA,-28.783,32.0377,68.22,94,1,8.14,clear sky
257,Inirida,CO,3.8653,-67.9239,73.22,91,74,1.61,broken clouds
258,Ewa Beach,US,21.3156,-158.0072,80.55,83,100,12.66,light rain
259,Japura,ID,-0.3167,102.35,73.17,96,100,1.3,overcast clouds
260,Goure,NE,13.9835,10.2704,89.85,24,100,4.43,overcast clouds
261,Verkhnyaya Inta,RU,65.9811,60.3094,39.27,93,100,5.79,light rain
262,Pisco,PE,-13.7,-76.2167,61.02,82,20,14.97,mist
263,Shimoda,JP,34.6667,138.95,71.96,69,78,8.5,broken clouds
264,San Jeronimo,PE,-11.9472,-75.2829,54.84,64,89,4.99,overcast clouds
265,Provideniya,RU,64.3833,-173.3,39.36,81,40,13.42,scattered clouds
266,Ostrovnoy,RU,68.0531,39.5131,35.13,85,50,10.11,scattered clouds
267,Sibolga,ID,1.7427,98.7792,74.91,89,100,2.13,overcast clouds
268,Tianpeng,CN,30.9866,103.9393,74.71,88,99,5.77,overcast clouds
269,Athabasca,CA,54.7169,-113.2854,68.7,39,13,11.39,few clouds
270,Moree,AU,-29.4667,149.85,66.02,49,1,7.47,clear sky
271,Ketchikan,US,55.3422,-131.6461,55.87,71,20,12.66,few clouds
272,Lata,PT,40.1629,-8.3327,60.93,38,15,4.32,few clouds
273,Mohacs,HU,45.9931,18.6831,56.66,93,100,5.93,overcast clouds
274,Dzhebariki-Khaya,RU,62.2167,135.8,25.9,55,91,3.47,overcast clouds
275,La Ronge,CA,55.1001,-105.2842,71.85,37,20,11.5,few clouds
276,Pregradnaya,RU,43.9508,41.1994,56.17,67,100,0.85,overcast clouds
277,Tumpat,MY,6.1978,102.171,75.18,94,40,2.3,scattered clouds
278,Ancud,CL,-41.8697,-73.8203,50.49,78,100,5.75,overcast clouds
279,Nizhniy Tsasuchey,RU,50.5167,115.1333,28.47,57,5,17.29,clear sky
280,Iqaluit,CA,63.7506,-68.5145,28.13,79,75,2.3,broken clouds
281,Muncar,ID,-8.4333,114.3333,78.75,85,70,2.8,broken clouds
282,Lokoja,NG,7.8024,6.743,73.04,95,49,2.82,scattered clouds
283,Vestmannaeyjar,IS,63.4427,-20.2734,50.85,95,100,20.18,light rain
284,Honolulu,US,21.3069,-157.8583,80.42,88,100,12.66,light rain
285,Tooele,US,40.5308,-112.2983,69.96,42,0,3.44,clear sky
286,Dabat,ET,12.9842,37.765,52.68,70,84,2.53,broken clouds
287,Ulagan,RU,50.6321,87.9563,16.09,73,1,3.22,clear sky
288,Bac Giang,VN,21.2667,106.2,77.07,90,13,3.22,few clouds
289,Andros Town,BS,24.7,-77.7667,82.36,59,39,10.02,scattered clouds
290,Kharitonovo,RU,61.4009,47.4978,50.5,98,100,5.55,overcast clouds
291,Agboville,CI,5.928,-4.2132,71.91,99,89,2.24,overcast clouds
292,Yarim,YE,14.298,44.3779,56.75,61,98,4.79,light rain
293,San Juan,AR,-31.5375,-68.5364,76.28,28,0,20.89,clear sky
294,Tabou,CI,4.423,-7.3528,75.47,92,90,6.31,light rain
295,Evans,US,33.5337,-82.1307,73.04,58,100,4.61,overcast clouds
296,Asau,RO,46.4333,26.4,52.72,72,60,8.01,broken clouds
297,Baruun-Urt,MN,46.6806,113.2792,22.96,67,46,9.57,scattered clouds
298,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,87,60,12.06,broken clouds
299,Belur,IN,13.1667,75.8667,66.85,94,100,5.1,overcast clouds
300,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.26,48,87,2.53,overcast clouds
301,Nago,JP,26.5881,127.9761,83.25,73,12,11.01,few clouds
302,Aquiraz,BR,-3.9014,-38.3911,80.69,84,13,12.39,few clouds
303,Vidim,RU,56.4088,103.1106,27.64,89,100,6.69,overcast clouds
304,Sugal,PH,5.6622,125.4617,83.44,71,100,9.51,overcast clouds
305,Crib Point,AU,-38.35,145.2,58.41,86,100,2.91,overcast clouds
306,Rawson,AR,-43.3002,-65.1023,49.86,56,100,18.07,overcast clouds
307,Yulara,AU,-25.2406,130.9889,75.74,45,21,16.78,few clouds
308,Punaauia,PF,-17.6333,-149.6,83.84,61,40,10.0,scattered clouds
309,North Bend,US,43.4065,-124.2243,60.71,88,100,6.91,overcast clouds
310,Ponta Delgada,PT,37.7333,-25.6667,74.5,88,20,12.66,few clouds
311,Salvador,SV,13.8333,-88.9167,74.05,98,96,2.44,overcast clouds
312,Mokhotlong,LS,-29.2894,29.0675,56.48,23,0,3.38,clear sky
313,Ajdabiya,LY,30.7554,20.2263,72.81,64,0,13.2,clear sky
314,Sobolevo,RU,54.4299,31.8996,46.76,96,100,15.23,light rain
315,Souillac,MU,-20.5167,57.5167,68.38,77,20,8.05,few clouds
316,Severo-Kurilsk,RU,50.6789,156.125,48.25,63,97,9.78,overcast clouds
317,Asadabad,IR,34.7824,48.1185,58.96,40,0,2.01,clear sky
318,Sharjah,AE,25.3573,55.4033,85.98,83,3,5.75,haze
319,Jacareacanga,BR,-6.2222,-57.7528,75.78,81,74,2.3,broken clouds
320,Catuday,PH,16.2923,119.8062,81.27,72,72,11.9,broken clouds
